product_name,price (INR),rating,product_page
Women's Orthopaedic Sandal,446,4.2 out of 5 stars,amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A077325921XBCNM4JLJTD&url=%2FHealthfit-Diabetic-Orthopedic-Footwear-HF302BR%2Fdp%2FB06Y12QYTN%2Fref%3Dsr_1_69_sspa%3Fdchild%3D1%26keywords%3Dstiletto%2Bheels%26qid%3D1557851935%26sr%3D8-69-spons%26psc%3D1&qualifier=1608722698&id=6835567768709568&widgetName=sp_mtf
Girls Fashion Sandals,"1,990",3.8 out of 5 stars,amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A07777822WUTCRS65URCU&url=%2FMetro-Women-Leather-Sandals-44-340-11-40%2Fdp%2FB08KFHR54S%2Fref%3Dsr_1_70_sspa%3Fdchild%3D1%26keywords%3Dstiletto%2Bheels%26qid%3D1557851935%26sr%3D8-70-spons%26psc%3D1&qualifier=1608722698&id=6835567768709568&widgetName=sp_mtf
Women's Fashion Sandals,279,4.2 out of 5 stars,amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A00352833ONVYL7QTDO79&url=%2FAEROWALK-Womens-Black-Fashion-Sandals-6%2Fdp%2FB07VHC5R11%2Fref%3Dsr_1_71_sspa%3Fdchild%3D1%26keywords%3Dstiletto%2Bheels%26qid%3D1557851935%26sr%3D8-71-spons%26psc%3D1&qualifier=1608722698&id=6835567768709568&widgetName=sp_mtf
Women's KASH1 Red Suede Fashion Sandals,"1,707",3.3 out of 5 stars,amazon.in/TRUFFLE-COLLECTION-Fashion-Sandals-5-TC-KASH1-REDMIC-05/dp/B07H92VVLD/ref=sr_1_72?dchild=1&keywords=stiletto+heels&qid=1557851935&sr=8-72
Women's Fashion Sandal,699,4.5 out of 5 stars,amazon.in/Do-Bhai-Stiletto-Heel-Women/dp/B083M5JRBK/ref=sr_1_73?dchild=1&keywords=stiletto+heels&qid=1557851935&sr=8-73
Women's Laina Rae Leather Pumps,"4,691",4.6 out of 5 stars,amazon.in/Clarks-Praline-Leather-Pumps-6-5-91261388834065/dp/B07FR9MY6X/ref=sr_1_74?dchild=1&keywords=stiletto+heels&qid=1557851935&sr=8-74
Heels Black Stiletto Women Pumps,899,5.0 out of 5 stars,amazon.in/Kielz-Heels-Black-Stiletto-Pumps-39/dp/B07RY2G4KT/ref=sr_1_75?dchild=1&keywords=stiletto+heels&qid=1557851935&sr=8-75
Women's Fashion Slippers,894,3.6 out of 5 stars,amazon.in/Mochi-Womens-Fashion-Slippers-4-32-980/dp/B083NKFRD6/ref=sr_1_76?dchild=1&keywords=stiletto+heels&qid=1557851935&sr=8-76
Women's Fashion Sandal,490,5.0 out of 5 stars,amazon.in/Healthfit-Health-Weight-Sandal-Black-38/dp/B07K6HLDSN/ref=sr_1_77?dchild=1&keywords=stiletto+heels&qid=1557851935&sr=8-77
Women's Stiletto,525,3.9 out of 5 stars,amazon.in/TipnToes-Womens-Stiletto-Peach-Numeric_6/dp/B08BLVQ4W6/ref=sr_1_78?dchild=1&keywords=stiletto+heels&qid=1557851935&sr=8-78
Women Sea Green Party Heels,629,5.0 out of 5 stars,amazon.in/Meriggiare-Women-Red-Party-Heels/dp/B0795VH1F2/ref=sr_1_79?dchild=1&keywords=stiletto+heels&qid=1557851935&sr=8-79
Women's Yellow Croslite Sole Material Ballerinas High Heel Sandal,"3,499",5.0 out of 5 stars,amazon.in/KANVAS-Womens-Croslite-Material-Ballerinas/dp/B07DQQF9ZZ/ref=sr_1_80?dchild=1&keywords=stiletto+heels&qid=1557851935&sr=8-80
Women's Fashion Sandal,721,3.0 out of 5 stars,amazon.in/HIDESHINE-Genuine-Leather-Sandal-Womens/dp/B082WG7NFQ/ref=sr_1_81?dchild=1&keywords=stiletto+heels&qid=1557851935&sr=8-81
Women's Heels Bellies 8183-Furiozz,599,3.1 out of 5 stars,amazon.in/FURIOZZ-Comfortable-Latest-Ballerinas-Collection/dp/B07VCKS3ZV/ref=sr_1_82?dchild=1&keywords=stiletto+heels&qid=1557851935&sr=8-82
Red-Stiletto-Women's-Heels-Sandal,999,5.0 out of 5 stars,amazon.in/Kielz-Kielz-Red-Stiletto-Womens-Heels-Sandal-36-EU/dp/B0841FXNKW/ref=sr_1_83?dchild=1&keywords=stiletto+heels&qid=1557851935&sr=8-83
Women's Combo Pack of 2 High Heel 4 Inch Tan Colour Stilettos & Black Sandal (Combo Pack of 2)- High Heel Sandal & Ballerinas Stilettos from,"1,649",4.0 out of 5 stars,amazon.in/AUTHENTIC-VOGUE-Womens-Colour-Stilettos/dp/B07DQP5X8H/ref=sr_1_84?dchild=1&keywords=stiletto+heels&qid=1557851935&sr=8-84
Women's Casualwear Slip-On Platform Heel Wedges,899,,amazon.in/Calzado-Womens-Casualwear-Sultan-Platform/dp/B08L25MHLY/ref=sr_1_85?dchild=1&keywords=stiletto+heels&qid=1557851935&sr=8-85
Women Stiletto 4 Inchs Sandals,"1,499",,amazon.in/Klaur-Melbourne-Women-Stiletto-Sandals/dp/B08FWWRQQ5/ref=sr_1_86?dchild=1&keywords=stiletto+heels&qid=1557851935&sr=8-86
Women's Faux Leather High Cushioned Low Heels Pointed Toe Stiletto Pumps Shoes,499,,amazon.in/Brown-Horse-Cushioned-Stiletto-Numeric_6/dp/B08MW6NDLZ/ref=sr_1_87?dchild=1&keywords=stiletto+heels&qid=1557851935&sr=8-87
Sarahkaren White Leather Heel Pumps Bellies for Women and Girls,499,,amazon.in/AAMOUR-Sarahkaren-Leather-Bellies-Numeric_5/dp/B08D7BPX3S/ref=sr_1_88?dchild=1&keywords=stiletto+heels&qid=1557851935&sr=8-88
Women's Comfortable Elegant High Cushioned Casual Low Heels Formal Office Lady Pointed Toe Stiletto Pumps Shoes,499,,amazon.in/Neso-Comfortable-Elegant-Cushioned-Stiletto/dp/B087CJH5P4/ref=sr_1_89?dchild=1&keywords=stiletto+heels&qid=1557851935&sr=8-89
Women's Fashion Sandal,584,,amazon.in/Do-Bhai-Stylish-Heels-Euro37/dp/B077PXFLWG/ref=sr_1_90?dchild=1&keywords=stiletto+heels&qid=1557851935&sr=8-90
Women's Casualwear Slip-On Platform Heel Wedges,899,,amazon.in/Calzado-Womens-Casualwear-Platform-Wedges/dp/B08L25NRV4/ref=sr_1_91?dchild=1&keywords=stiletto+heels&qid=1557851935&sr=8-91
Ladies Comfortable Slip on Platform Heels Toe Casual Dailywear Fashion Sandals Footwears for Women,749,,amazon.in/JOY-Comfortable-Platform-Dailywear-Footwears/dp/B08F71WLJZ/ref=sr_1_92?dchild=1&keywords=stiletto+heels&qid=1557851935&sr=8-92
Women's RF-SM368-M104 Black PU Fashion Sandals,"1,049",,amazon.in/TRUFFLE-COLLECTION-Fashion-Sandals-7-TC-RF-SM368-M104-BLKNPU-07/dp/B07H9244WS/ref=sr_1_93?dchild=1&keywords=stiletto+heels&qid=1557851935&sr=8-93
Women Swarovski Stone Heel,999,,amazon.in/Style-Mermaid-Women-Swarovski-Numeric_7/dp/B08KPBD7DZ/ref=sr_1_94?dchild=1&keywords=stiletto+heels&qid=1557851935&sr=8-94
Women Gold Lifestyle Heel Sandal,585,,amazon.in/Khadims-Women-Gold-Lifestyle-Sandal/dp/B089GY1LB6/ref=sr_1_95?dchild=1&keywords=stiletto+heels&qid=1557851935&sr=8-95
Women Synthetic Gold Heels,710,,amazon.in/Meriggiare-Women-Synthetic-Gold-Heels/dp/B01JLINUUI/ref=sr_1_96?dchild=1&keywords=stiletto+heels&qid=1557851935&sr=8-96
Women Block Heel 3.5 Inch Sandal,799,,amazon.in/Klaur-Melbourne-Synthetic-Leather-Pointed/dp/B074HD2LQF/ref=sr_1_97?dchild=1&keywords=stiletto+heels&qid=1557851935&sr=8-97
Snake Skin Inspired high Heel Stilettos with Golden Straps in The Front,"1,870",,amazon.in/Snake-Inspired-Stilettos-Golden-Straps/dp/B082DJW7B6/ref=sr_1_98?dchild=1&keywords=stiletto+heels&qid=1557851935&sr=8-98
Women's VF202K-148 Beige PU Fashion Sandals,"1,845",,amazon.in/TRUFFLE-COLLECTION-Fashion-Sandals-7-TC-VF202K-148-BEIGSNPU-07/dp/B07KXSKDNF/ref=sr_1_99?dchild=1&keywords=stiletto+heels&qid=1557851935&sr=8-99
Women's Casualwear Slip-On Platform Heel Wedges,899,,amazon.in/Calzado-Womens-Casualwear-Sultan-Platform/dp/B08L25P63C/ref=sr_1_100?dchild=1&keywords=stiletto+heels&qid=1557851935&sr=8-100
"Bellies for Women and Girls Tan,Pink, Grey",498,,amazon.in/Longwalk-Bellies-Women-Girls-Pink/dp/B08N6N7WLR/ref=sr_1_101?dchild=1&keywords=stiletto+heels&qid=1557851935&sr=8-101
Champagne Gold high Heel Stilettos with Stone Embellishments,"1,980",,amazon.in/Champagne-Gold-Stilettos-Stone-Embellishments/dp/B082BC2B4W/ref=sr_1_102?dchild=1&keywords=stiletto+heels&qid=1557851935&sr=8-102
Women's & Girls' Fashion Sandal,499,,amazon.in/Denill-Latest-Block-Sandal-Collection/dp/B083JG7H5F/ref=sr_1_103?dchild=1&keywords=stiletto+heels&qid=1557851935&sr=8-103
